code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,status,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,268,-50.0,268.0,keep,0.6666666666666666,32.333333333333336,480.0,72,6,116,14,9,2013,Oct,SocSci,Fail
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-107.0,268.0,keep,0.8333333333333334,55.0,265.0,754,7,2992,122,9,2013,Oct,SocSci,Pass
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-27.0,268.0,keep,0.8333333333333334,58.666666666666664,265.0,271,6,680,86,9,2013,Oct,SocSci,Pass
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,268,-31.0,268.0,keep,0.8333333333333334,59.0,265.0,496,7,1494,125,9,2013,Oct,SocSci,Pass
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-170.0,72.0,keep,0.16666666666666666,12.333333333333334,817.0,102,6,339,24,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,268,-107.0,268.0,keep,0.8333333333333334,50.5,265.0,386,7,2839,91,9,2013,Oct,SocSci,Pass
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-62.0,268.0,keep,0.8333333333333334,57.0,265.0,243,8,744,52,9,2013,Oct,SocSci,Pass
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,268,-103.0,268.0,keep,0.8333333333333334,60.5,265.0,913,7,4104,144,9,2013,Oct,SocSci,Pass
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-107.0,268.0,keep,0.8333333333333334,65.0,265.0,781,7,1944,177,9,2013,Oct,SocSci,Pass
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-100.0,268.0,keep,0.8333333333333334,63.833333333333336,265.0,313,7,1150,58,9,2013,Oct,SocSci,Pass
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,268,5.0,175.0,keep,0.5,30.0,646.0,145,7,465,33,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,268,-107.0,268.0,keep,0.8333333333333334,44.5,265.0,221,5,733,47,9,2013,Oct,SocSci,Pass
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,268,-110.0,268.0,keep,0.8333333333333334,52.833333333333336,265.0,343,6,998,70,9,2013,Oct,SocSci,Pass
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-43.0,268.0,keep,0.5,40.5,485.0,589,9,2343,136,9,2013,Oct,SocSci,Pass
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-26.0,268.0,keep,0.8333333333333334,64.66666666666667,265.0,1001,8,3553,195,9,2013,Oct,SocSci,Pass
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,60.666666666666664,265.0,510,8,1358,120,9,2013,Oct,SocSci,Pass
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,52.0,265.0,514,7,1886,108,9,2013,Oct,SocSci,Pass
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,268,-32.0,268.0,keep,0.8333333333333334,61.833333333333336,265.0,311,6,1108,98,9,2013,Oct,SocSci,Pass
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,268,-99.0,268.0,keep,0.8333333333333334,51.5,265.0,111,6,284,27,9,2013,Oct,SocSci,Pass
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-82.0,268.0,keep,0.8333333333333334,59.5,265.0,600,8,2041,127,9,2013,Oct,SocSci,Pass
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,268,-31.0,268.0,keep,0.8333333333333334,58.0,265.0,440,6,1321,89,9,2013,Oct,SocSci,Pass
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,268,-197.0,135.0,keep,0.5,40.5,646.0,303,8,1011,83,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,268,-75.0,268.0,keep,0.8333333333333334,56.166666666666664,265.0,152,8,520,32,9,2013,Oct,SocSci,Pass
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-96.0,268.0,keep,0.8333333333333334,70.33333333333333,265.0,569,8,2732,138,9,2013,Oct,SocSci,Distinction
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,268,-32.0,144.0,keep,0.3333333333333333,20.5,763.0,109,6,287,24,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-195.0,268.0,keep,0.8333333333333334,66.83333333333333,265.0,1409,7,5528,192,9,2013,Oct,SocSci,Pass
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,268,-61.0,268.0,keep,0.8333333333333334,60.5,265.0,585,7,1823,92,9,2013,Oct,SocSci,Pass
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,268,-110.0,129.0,keep,0.16666666666666666,7.5,817.0,44,7,143,9,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-37.0,268.0,keep,0.8333333333333334,61.333333333333336,265.0,631,7,2121,95,9,2013,Oct,SocSci,Pass
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,268,-67.0,268.0,keep,0.8333333333333334,57.333333333333336,265.0,1620,9,5645,200,9,2013,Oct,SocSci,Pass
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,268,-36.0,268.0,keep,0.8333333333333334,45.333333333333336,265.0,149,5,452,35,9,2013,Oct,SocSci,Pass
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,268,-132.0,268.0,keep,0.8333333333333334,41.666666666666664,265.0,192,7,597,32,9,2013,Oct,SocSci,Fail
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,268,-92.0,268.0,keep,0.6666666666666666,49.166666666666664,480.0,228,6,611,74,9,2013,Oct,SocSci,Fail
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,268,-138.0,58.0,keep,0.16666666666666666,8.666666666666666,817.0,41,5,155,9,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,268,-174.0,158.0,keep,0.5,36.0,646.0,554,8,1864,106,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,268,-44.0,268.0,keep,0.8333333333333334,41.666666666666664,265.0,89,6,270,20,9,2013,Oct,SocSci,Pass
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,268,-16.0,268.0,keep,0.8333333333333334,55.833333333333336,265.0,419,6,1529,81,9,2013,Oct,SocSci,Pass
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,268,-54.0,268.0,keep,0.8333333333333334,66.5,265.0,963,8,4003,202,9,2013,Oct,SocSci,Pass
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,268,-64.0,191.0,keep,0.3333333333333333,26.666666666666668,763.0,245,8,908,44,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-52.0,268.0,keep,0.8333333333333334,58.833333333333336,265.0,386,8,1405,87,9,2013,Oct,SocSci,Pass
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-46.0,123.0,keep,0.3333333333333333,22.166666666666668,763.0,320,8,1185,66,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,268,-64.0,268.0,keep,0.8333333333333334,59.833333333333336,265.0,239,6,466,51,9,2013,Oct,SocSci,Pass
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-117.0,268.0,keep,0.8333333333333334,57.833333333333336,265.0,515,7,1510,99,9,2013,Oct,SocSci,Pass
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,268,-32.0,268.0,keep,0.8333333333333334,55.333333333333336,265.0,302,7,745,42,9,2013,Oct,SocSci,Pass
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,268,-162.0,268.0,keep,0.8333333333333334,67.0,265.0,1643,8,6318,249,9,2013,Oct,SocSci,Pass
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,268,-92.0,268.0,keep,0.8333333333333334,65.16666666666667,265.0,437,7,2016,97,9,2013,Oct,SocSci,Pass
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,268,-57.0,268.0,keep,0.8333333333333334,31.333333333333332,265.0,50,5,138,17,9,2013,Oct,SocSci,Fail
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,268,-64.0,268.0,keep,0.8333333333333334,44.5,265.0,858,7,2012,157,9,2013,Oct,SocSci,Pass
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,268,-39.0,60.0,keep,0.16666666666666666,12.666666666666666,817.0,145,8,487,20,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,268,-128.0,268.0,keep,0.8333333333333334,45.0,265.0,547,7,1975,116,9,2013,Oct,SocSci,Pass
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,268,-32.0,268.0,keep,0.8333333333333334,40.833333333333336,265.0,368,7,964,58,9,2013,Oct,SocSci,Pass
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,268,-74.0,268.0,keep,0.8333333333333334,49.833333333333336,265.0,477,9,1312,147,9,2013,Oct,SocSci,Pass
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,268,-12.0,268.0,keep,0.16666666666666666,12.333333333333334,817.0,99,8,427,15,9,2013,Oct,SocSci,Fail
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,268,-109.0,268.0,keep,0.8333333333333334,63.333333333333336,265.0,585,9,2136,109,9,2013,Oct,SocSci,Pass
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-136.0,268.0,keep,0.8333333333333334,74.33333333333333,265.0,1922,7,8562,231,9,2013,Oct,SocSci,Distinction
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,268,-57.0,60.0,keep,0.16666666666666666,12.666666666666666,817.0,393,7,1434,49,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,268,-180.0,268.0,keep,0.8333333333333334,66.16666666666667,265.0,442,8,1541,84,9,2013,Oct,SocSci,Pass
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,268,-62.0,268.0,keep,0.8333333333333334,57.0,265.0,804,7,3219,176,9,2013,Oct,SocSci,Pass
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-45.0,185.0,keep,0.16666666666666666,8.333333333333334,719.0,352,8,1905,58,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,268,-54.0,268.0,keep,0.8333333333333334,45.333333333333336,265.0,280,6,534,81,9,2013,Oct,SocSci,Pass
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,268,-73.0,166.0,keep,0.5,33.333333333333336,646.0,297,7,1418,47,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,60.166666666666664,265.0,563,8,1665,126,9,2013,Oct,SocSci,Pass
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,268,-51.0,268.0,keep,0.5,28.333333333333332,646.0,117,6,333,32,9,2013,Oct,SocSci,Fail
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,268,-169.0,268.0,keep,0.8333333333333334,69.66666666666667,265.0,807,7,2953,162,9,2013,Oct,SocSci,Distinction
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-31.0,268.0,keep,0.8333333333333334,60.333333333333336,265.0,136,7,227,37,9,2013,Oct,SocSci,Pass
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-108.0,268.0,keep,0.8333333333333334,51.5,265.0,166,6,445,38,9,2013,Oct,SocSci,Pass
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-165.0,268.0,keep,0.8333333333333334,55.0,265.0,163,6,614,50,9,2013,Oct,SocSci,Pass
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,268,-58.0,268.0,keep,0.8333333333333334,65.0,265.0,349,7,1215,123,9,2013,Oct,SocSci,Pass
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,268,-29.0,268.0,keep,0.6666666666666666,45.166666666666664,431.0,435,7,1839,86,9,2013,Oct,SocSci,Pass
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,268,-79.0,109.0,keep,0.16666666666666666,10.833333333333334,817.0,71,6,190,21,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,268,2.0,268.0,keep,0.8333333333333334,65.0,265.0,210,6,732,41,9,2013,Oct,SocSci,Pass
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,268,-151.0,268.0,keep,0.8333333333333334,66.0,265.0,743,8,1935,162,9,2013,Oct,SocSci,Pass
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,268,-45.0,268.0,keep,0.8333333333333334,63.166666666666664,265.0,107,6,321,26,9,2013,Oct,SocSci,Pass
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-47.0,268.0,keep,0.8333333333333334,48.666666666666664,265.0,191,6,427,44,9,2013,Oct,SocSci,Pass
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-50.0,268.0,keep,0.8333333333333334,65.66666666666667,265.0,573,7,1892,135,9,2013,Oct,SocSci,Pass
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,268,-31.0,268.0,keep,0.8333333333333334,48.833333333333336,265.0,627,7,1829,117,9,2013,Oct,SocSci,Fail
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,268,-36.0,268.0,keep,0.8333333333333334,64.5,265.0,263,6,658,56,9,2013,Oct,SocSci,Pass
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-16.0,268.0,keep,0.8333333333333334,46.333333333333336,265.0,351,8,1174,68,9,2013,Oct,SocSci,Pass
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,268,-198.0,268.0,keep,0.8333333333333334,65.33333333333333,265.0,752,8,1969,193,9,2013,Oct,SocSci,Pass
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,268,-103.0,268.0,keep,0.8333333333333334,59.5,265.0,815,8,2580,166,9,2013,Oct,SocSci,Pass
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,268,-117.0,268.0,keep,0.8333333333333334,64.0,265.0,518,7,1481,139,9,2013,Oct,SocSci,Pass
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,49.0,265.0,299,8,844,53,9,2013,Oct,SocSci,Pass
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-172.0,268.0,keep,0.8333333333333334,54.0,265.0,1370,6,4963,204,9,2013,Oct,SocSci,Pass
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,268,-186.0,170.0,keep,0.3333333333333333,19.166666666666668,763.0,134,6,426,43,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,268,-145.0,268.0,keep,0.8333333333333334,59.166666666666664,265.0,345,8,1066,69,9,2013,Oct,SocSci,Pass
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-191.0,268.0,keep,0.8333333333333334,63.833333333333336,265.0,717,6,2407,119,9,2013,Oct,SocSci,Pass
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,268,-33.0,268.0,keep,0.8333333333333334,62.166666666666664,265.0,716,7,3210,116,9,2013,Oct,SocSci,Fail
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,268,-17.0,187.0,keep,0.3333333333333333,14.333333333333334,700.0,55,5,188,18,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,268,-68.0,268.0,keep,0.8333333333333334,63.666666666666664,265.0,639,7,3348,128,9,2013,Oct,SocSci,Pass
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,268,-108.0,177.0,keep,0.5,33.833333333333336,646.0,470,7,2016,78,9,2013,Oct,SocSci,Withdrawn
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,268,-138.0,268.0,keep,0.8333333333333334,66.0,265.0,297,6,1183,63,9,2013,Oct,SocSci,Distinction
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,268,-74.0,268.0,keep,0.8333333333333334,61.166666666666664,265.0,183,6,492,49,9,2013,Oct,SocSci,Pass
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,268,-64.0,268.0,keep,0.8333333333333334,46.166666666666664,265.0,77,7,130,15,9,2013,Oct,SocSci,Fail
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-107.0,268.0,keep,0.8333333333333334,50.5,265.0,478,8,1961,87,9,2013,Oct,SocSci,Pass
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-8.0,268.0,keep,0.8333333333333334,59.166666666666664,265.0,284,8,1046,68,9,2013,Oct,SocSci,Pass
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-52.0,268.0,keep,0.8333333333333334,56.5,265.0,144,7,483,47,9,2013,Oct,SocSci,Pass
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,268,-96.0,268.0,keep,0.8333333333333334,58.666666666666664,265.0,496,8,1740,108,9,2013,Oct,SocSci,Pass
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-141.0,268.0,keep,0.8333333333333334,62.5,265.0,153,6,652,33,9,2013,Oct,SocSci,Pass
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-132.0,268.0,keep,0.8333333333333334,69.66666666666667,265.0,1879,9,5231,229,9,2013,Oct,SocSci,Distinction
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,268,-27.0,268.0,keep,0.6666666666666666,31.166666666666668,284.0,114,6,187,28,9,2013,Oct,SocSci,Pass
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,268,-80.0,268.0,keep,0.8333333333333334,65.16666666666667,265.0,438,8,1775,119,9,2013,Oct,SocSci,Pass
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-145.0,268.0,keep,0.8333333333333334,44.0,265.0,256,7,865,94,9,2013,Oct,SocSci,Pass
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,268,-17.0,268.0,keep,0.8333333333333334,41.833333333333336,265.0,300,6,709,87,9,2013,Oct,SocSci,Fail
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,268,-115.0,268.0,keep,0.8333333333333334,72.33333333333333,265.0,511,9,2152,124,9,2013,Oct,SocSci,Distinction
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,268,-32.0,268.0,keep,0.8333333333333334,67.33333333333333,265.0,201,7,514,58,9,2013,Oct,SocSci,Pass
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-59.0,268.0,keep,0.8333333333333334,65.66666666666667,265.0,580,6,1997,108,9,2013,Oct,SocSci,Pass
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,268,-83.0,268.0,keep,0.5,29.333333333333332,646.0,165,7,513,24,9,2013,Oct,SocSci,Fail
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,268,-18.0,268.0,keep,0.16666666666666666,10.666666666666666,817.0,44,5,146,11,9,2013,Oct,SocSci,Fail
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,268,-66.0,268.0,keep,0.8333333333333334,65.0,265.0,368,7,1277,85,9,2013,Oct,SocSci,Pass
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,268,-107.0,268.0,keep,0.8333333333333334,48.5,265.0,322,6,987,81,9,2013,Oct,SocSci,Pass
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-58.0,268.0,keep,0.8333333333333334,68.33333333333333,265.0,378,9,1220,110,9,2013,Oct,SocSci,Pass
AAA,2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,268,-123.0,268.0,keep,0.8333333333333334,52.166666666666664,265.0,1112,6,2742,189,9,2013,Oct,SocSci,Pass
AAA,2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,268,-31.0,268.0,keep,0.8333333333333334,67.66666666666667,265.0,401,6,1081,87,9,2013,Oct,SocSci,Pass
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,268,-107.0,268.0,keep,0.6666666666666666,40.0,480.0,377,7,1476,76,9,2013,Oct,SocSci,Pass
AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,268,-121.0,268.0,keep,0.8333333333333334,49.333333333333336,265.0,696,7,2230,145,9,2013,Oct,SocSci,Pass
AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,268,-79.0,268.0,keep,0.8333333333333334,73.16666666666667,265.0,1835,8,12882,271,9,2013,Oct,SocSci,Distinction
AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-59.0,268.0,keep,0.8333333333333334,51.5,265.0,106,6,281,46,9,2013,Oct,SocSci,Pass
