code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,268,-174.0,158.0,1.0,72.0,0.0,537.0,8.0,1780.0,101.0,9.0,2013,Oct,SocSci,Withdrawn
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,268,-44.0,268.0,1.0,49.0,0.0,41.0,4.0,69.0,13.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,268,-16.0,268.0,1.0,69.66666666666667,0.0,249.0,6.0,930.0,49.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,268,-54.0,268.0,1.0,80.0,0.0,537.0,8.0,2418.0,110.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,268,-64.0,191.0,0.6666666666666666,53.333333333333336,117.0,212.0,8.0,802.0,38.0,9.0,2013,Oct,SocSci,Withdrawn
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-52.0,268.0,1.0,78.0,0.0,217.0,7.0,856.0,56.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,268,-64.0,268.0,1.0,72.66666666666667,0.0,109.0,6.0,230.0,25.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-117.0,268.0,1.0,66.66666666666667,0.0,311.0,7.0,957.0,61.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,268,-32.0,268.0,1.0,72.33333333333333,0.0,164.0,6.0,415.0,24.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,268,-162.0,268.0,1.0,79.66666666666667,0.0,1015.0,8.0,3990.0,146.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,268,-92.0,268.0,1.0,75.66666666666667,0.0,341.0,7.0,1703.0,71.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,268,-57.0,268.0,1.0,40.333333333333336,0.0,35.0,5.0,112.0,11.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,268,-64.0,268.0,1.0,54.666666666666664,0.0,530.0,7.0,1325.0,95.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,268,-128.0,268.0,1.0,53.666666666666664,0.0,348.0,6.0,1258.0,77.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,268,-32.0,268.0,1.0,49.333333333333336,0.0,202.0,6.0,505.0,31.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,268,-74.0,268.0,1.0,64.0,0.0,354.0,9.0,1002.0,101.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,268,-12.0,268.0,0.3333333333333333,24.666666666666668,171.0,99.0,8.0,427.0,15.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,268,-109.0,268.0,1.0,81.33333333333333,0.0,430.0,9.0,1679.0,65.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-136.0,268.0,1.0,88.66666666666667,0.0,1221.0,7.0,5717.0,147.0,9.0,2013,Oct,SocSci,Distinction
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,268,-180.0,268.0,1.0,81.33333333333333,0.0,246.0,8.0,1009.0,49.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,268,-62.0,268.0,1.0,69.66666666666667,0.0,489.0,7.0,1722.0,114.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-45.0,185.0,0.3333333333333333,16.666666666666668,73.0,253.0,7.0,1472.0,46.0,9.0,2013,Oct,SocSci,Withdrawn
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,268,-54.0,268.0,1.0,62.0,0.0,201.0,6.0,397.0,53.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,268,-73.0,166.0,1.0,66.66666666666667,0.0,297.0,7.0,1418.0,47.0,9.0,2013,Oct,SocSci,Withdrawn
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,268,-68.0,268.0,1.0,73.66666666666667,0.0,401.0,8.0,1240.0,82.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,268,-51.0,268.0,1.0,56.666666666666664,0.0,96.0,6.0,306.0,20.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,268,-169.0,268.0,1.0,83.66666666666667,0.0,641.0,7.0,2415.0,120.0,9.0,2013,Oct,SocSci,Distinction
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-31.0,268.0,1.0,67.66666666666667,0.0,75.0,6.0,140.0,20.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-108.0,268.0,1.0,61.0,0.0,108.0,6.0,285.0,26.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-165.0,268.0,1.0,67.33333333333333,0.0,116.0,6.0,428.0,32.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,268,-58.0,268.0,1.0,77.33333333333333,0.0,205.0,7.0,686.0,74.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,268,-29.0,268.0,1.0,68.33333333333333,0.0,281.0,7.0,1244.0,54.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,268,2.0,268.0,1.0,84.0,0.0,89.0,6.0,254.0,23.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,268,-151.0,268.0,1.0,74.66666666666667,0.0,427.0,8.0,1179.0,104.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,268,-45.0,268.0,1.0,81.0,0.0,67.0,6.0,176.0,17.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-47.0,268.0,1.0,61.333333333333336,0.0,112.0,6.0,274.0,27.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-50.0,268.0,1.0,77.0,0.0,410.0,7.0,1423.0,92.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,268,-31.0,268.0,1.0,56.0,0.0,296.0,7.0,929.0,65.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,268,-36.0,268.0,1.0,72.66666666666667,0.0,150.0,6.0,397.0,28.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-16.0,268.0,1.0,58.0,0.0,211.0,8.0,742.0,40.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,268,-198.0,268.0,1.0,76.66666666666667,0.0,509.0,8.0,1474.0,124.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,268,-103.0,268.0,1.0,81.0,0.0,589.0,8.0,2049.0,108.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,268,-117.0,268.0,1.0,75.0,0.0,238.0,7.0,773.0,74.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,268,-68.0,268.0,1.0,59.666666666666664,0.0,186.0,7.0,474.0,34.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-172.0,268.0,1.0,66.0,0.0,934.0,6.0,3401.0,141.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,268,-186.0,170.0,0.6666666666666666,38.333333333333336,117.0,114.0,6.0,385.0,38.0,9.0,2013,Oct,SocSci,Withdrawn
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,268,-145.0,268.0,1.0,69.66666666666667,0.0,238.0,8.0,760.0,46.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-191.0,268.0,1.0,78.66666666666667,0.0,528.0,6.0,1867.0,83.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,268,-33.0,268.0,1.0,75.0,0.0,418.0,6.0,1963.0,68.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,268,-17.0,187.0,0.6666666666666666,28.666666666666668,54.0,45.0,5.0,176.0,13.0,9.0,2013,Oct,SocSci,Withdrawn
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,268,-68.0,268.0,1.0,71.33333333333333,0.0,453.0,7.0,2434.0,89.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,268,-108.0,177.0,1.0,67.66666666666667,0.0,386.0,7.0,1646.0,65.0,9.0,2013,Oct,SocSci,Withdrawn
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,268,-138.0,268.0,1.0,78.0,0.0,169.0,6.0,693.0,35.0,9.0,2013,Oct,SocSci,Distinction
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,268,-74.0,268.0,1.0,72.0,0.0,112.0,6.0,298.0,32.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,268,-64.0,268.0,1.0,61.666666666666664,0.0,56.0,7.0,105.0,10.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,268,-50.0,268.0,0.0,0.0,0.0,28.0,4.0,59.0,8.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-107.0,268.0,1.0,62.0,0.0,326.0,8.0,1487.0,59.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-8.0,268.0,1.0,68.33333333333333,0.0,168.0,8.0,706.0,39.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-52.0,268.0,1.0,66.33333333333333,0.0,111.0,7.0,406.0,35.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,268,-96.0,268.0,1.0,74.0,0.0,345.0,8.0,1348.0,71.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-141.0,268.0,1.0,75.0,0.0,86.0,6.0,246.0,17.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-132.0,268.0,1.0,84.66666666666667,0.0,1266.0,9.0,3880.0,137.0,9.0,2013,Oct,SocSci,Distinction
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,268,-27.0,268.0,0.6666666666666666,36.0,19.0,51.0,5.0,71.0,15.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,268,-80.0,268.0,1.0,77.33333333333333,0.0,266.0,8.0,1271.0,71.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-145.0,268.0,1.0,56.0,0.0,161.0,7.0,548.0,61.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,268,-17.0,268.0,1.0,47.333333333333336,0.0,234.0,6.0,582.0,61.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,268,-115.0,268.0,1.0,93.33333333333333,0.0,380.0,9.0,1610.0,82.0,9.0,2013,Oct,SocSci,Distinction
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,268,-32.0,268.0,1.0,77.33333333333333,0.0,136.0,7.0,375.0,39.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-59.0,268.0,1.0,80.33333333333333,0.0,368.0,6.0,1300.0,64.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,268,-83.0,268.0,1.0,58.666666666666664,0.0,164.0,7.0,512.0,23.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,268,-18.0,268.0,0.3333333333333333,21.333333333333332,171.0,39.0,5.0,134.0,10.0,9.0,2013,Oct,SocSci,Fail
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,268,-66.0,268.0,1.0,78.0,0.0,260.0,7.0,958.0,59.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,268,-107.0,268.0,1.0,60.333333333333336,0.0,204.0,6.0,668.0,54.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-58.0,268.0,1.0,82.33333333333333,0.0,216.0,9.0,806.0,72.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,268,-123.0,268.0,1.0,73.0,0.0,830.0,6.0,2256.0,127.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,268,-31.0,268.0,1.0,80.33333333333333,0.0,243.0,6.0,620.0,53.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,268,-107.0,268.0,1.0,57.333333333333336,0.0,283.0,7.0,1101.0,50.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,268,-121.0,268.0,1.0,54.0,0.0,486.0,7.0,1627.0,91.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,268,-79.0,268.0,1.0,88.66666666666667,0.0,1224.0,8.0,8989.0,160.0,9.0,2013,Oct,SocSci,Distinction
AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-59.0,268.0,1.0,67.66666666666667,0.0,79.0,6.0,227.0,27.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,268,-100.0,268.0,1.0,65.0,0.0,357.0,6.0,1036.0,80.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,268,-47.0,268.0,1.0,77.66666666666667,0.0,1026.0,8.0,3353.0,127.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,268,-67.0,268.0,1.0,80.66666666666667,0.0,1538.0,8.0,7481.0,149.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,268,-32.0,268.0,1.0,78.0,0.0,426.0,7.0,1408.0,84.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,268,-165.0,268.0,1.0,53.0,0.0,305.0,6.0,1313.0,69.0,9.0,2013,Oct,SocSci,Pass
AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-32.0,268.0,1.0,53.333333333333336,0.0,53.0,5.0,99.0,24.0,9.0,2013,Oct,SocSci,Pass
