mod_pres_stu,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,course_length,date_registration,date_unregistration,status,prop_submissions,avg_score,submission_distance,stu_activity_count,stu_activity_type_count,stu_total_clicks,stu_days_active,mod_pres_vle_type_count,year,month,subject,final_result
AAA-2013J-111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-43.0,268.0,keep,0.5,40.0,220.0,485,9,2026,113,9,2013,Oct,SocSci,Pass
AAA-2013J-113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,268,-26.0,268.0,keep,1.0,77.5,0.0,809,8,2962,155,9,2013,Oct,SocSci,Pass
AAA-2013J-114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,268,-68.0,268.0,keep,1.0,77.5,0.0,357,8,1084,94,9,2013,Oct,SocSci,Pass
AAA-2013J-116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,268,-68.0,268.0,keep,1.0,65.5,0.0,412,7,1593,87,9,2013,Oct,SocSci,Pass
AAA-2013J-116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,268,-32.0,268.0,keep,1.0,74.75,0.0,295,6,1063,89,9,2013,Oct,SocSci,Pass
AAA-2013J-118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,268,-99.0,268.0,keep,1.0,66.0,0.0,92,6,251,17,9,2013,Oct,SocSci,Pass
AAA-2013J-123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-82.0,268.0,keep,1.0,72.25,0.0,527,8,1812,108,9,2013,Oct,SocSci,Pass
AAA-2013J-127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,268,-31.0,268.0,keep,1.0,70.25,0.0,375,6,1149,77,9,2013,Oct,SocSci,Pass
AAA-2013J-132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,268,-75.0,268.0,keep,1.0,68.75,0.0,109,7,386,24,9,2013,Oct,SocSci,Pass
AAA-2013J-134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-96.0,268.0,keep,1.0,85.25,0.0,491,8,2502,113,9,2013,Oct,SocSci,Distinction
AAA-2013J-137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-195.0,268.0,keep,1.0,78.5,0.0,1139,7,4534,156,9,2013,Oct,SocSci,Pass
AAA-2013J-141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,268,-61.0,268.0,keep,1.0,73.0,0.0,462,7,1437,74,9,2013,Oct,SocSci,Pass
AAA-2013J-142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-37.0,268.0,keep,1.0,71.5,0.0,483,7,1635,78,9,2013,Oct,SocSci,Pass
AAA-2013J-144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,268,-67.0,268.0,keep,1.0,66.25,0.0,1173,9,4016,147,9,2013,Oct,SocSci,Pass
AAA-2013J-145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,268,-36.0,268.0,keep,1.0,52.25,0.0,114,5,357,29,9,2013,Oct,SocSci,Pass
AAA-2013J-146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,268,-132.0,268.0,keep,1.0,52.5,0.0,162,7,505,27,9,2013,Oct,SocSci,Fail
AAA-2013J-147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,268,-92.0,268.0,keep,1.0,73.75,0.0,225,6,608,71,9,2013,Oct,SocSci,Fail
AAA-2013J-151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,268,-44.0,268.0,keep,1.0,50.0,0.0,58,5,159,15,9,2013,Oct,SocSci,Pass
AAA-2013J-155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,268,-16.0,268.0,keep,1.0,67.5,0.0,277,6,999,57,9,2013,Oct,SocSci,Pass
AAA-2013J-155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,268,-54.0,268.0,keep,1.0,80.25,0.0,699,8,3006,143,9,2013,Oct,SocSci,Pass
AAA-2013J-157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-52.0,268.0,keep,1.0,73.5,0.0,307,8,1206,74,9,2013,Oct,SocSci,Pass
AAA-2013J-164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,268,-64.0,268.0,keep,1.0,72.75,0.0,176,6,357,37,9,2013,Oct,SocSci,Pass
AAA-2013J-167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,268,-117.0,268.0,keep,1.0,68.0,0.0,389,7,1171,77,9,2013,Oct,SocSci,Pass
AAA-2013J-168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,268,-32.0,268.0,keep,1.0,67.75,0.0,223,7,557,31,9,2013,Oct,SocSci,Pass
AAA-2013J-174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,268,-162.0,268.0,keep,1.0,80.5,0.0,1330,8,5079,196,9,2013,Oct,SocSci,Pass
AAA-2013J-175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,268,-92.0,268.0,keep,1.0,77.25,0.0,385,7,1854,82,9,2013,Oct,SocSci,Pass
AAA-2013J-175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,268,-57.0,268.0,keep,1.0,38.25,0.0,40,5,118,14,9,2013,Oct,SocSci,Fail
AAA-2013J-180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,268,-64.0,268.0,keep,1.0,55.75,0.0,713,7,1649,130,9,2013,Oct,SocSci,Pass
AAA-2013J-183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,268,-128.0,268.0,keep,1.0,53.25,0.0,417,7,1545,90,9,2013,Oct,SocSci,Pass
AAA-2013J-183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,268,-32.0,268.0,keep,1.0,50.5,0.0,249,6,610,39,9,2013,Oct,SocSci,Pass
AAA-2013J-184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,268,-74.0,268.0,keep,1.0,61.25,0.0,436,9,1232,128,9,2013,Oct,SocSci,Pass
AAA-2013J-185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,268,-12.0,268.0,keep,0.25,18.5,337.0,99,8,427,15,9,2013,Oct,SocSci,Fail
AAA-2013J-186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,268,-109.0,268.0,keep,1.0,74.75,0.0,499,9,1956,79,9,2013,Oct,SocSci,Pass
AAA-2013J-187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,268,-136.0,268.0,keep,1.0,89.0,0.0,1559,7,7211,183,9,2013,Oct,SocSci,Distinction
AAA-2013J-189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,268,-180.0,268.0,keep,1.0,81.75,0.0,320,8,1209,64,9,2013,Oct,SocSci,Pass
AAA-2013J-192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,268,-62.0,268.0,keep,1.0,71.0,0.0,672,7,2710,151,9,2013,Oct,SocSci,Pass
AAA-2013J-200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,268,-54.0,268.0,keep,1.0,59.75,0.0,218,6,421,61,9,2013,Oct,SocSci,Pass
AAA-2013J-205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,268,-68.0,268.0,keep,1.0,71.5,0.0,496,8,1444,108,9,2013,Oct,SocSci,Pass
AAA-2013J-205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,268,-51.0,268.0,keep,0.75,42.5,166.0,109,6,322,27,9,2013,Oct,SocSci,Fail
AAA-2013J-227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,268,-169.0,268.0,keep,1.0,83.75,0.0,772,7,2818,151,9,2013,Oct,SocSci,Distinction
AAA-2013J-228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,268,-31.0,268.0,keep,1.0,70.0,0.0,100,6,170,28,9,2013,Oct,SocSci,Pass
AAA-2013J-228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,268,-108.0,268.0,keep,1.0,62.25,0.0,148,6,413,34,9,2013,Oct,SocSci,Pass
AAA-2013J-229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,268,-165.0,268.0,keep,1.0,68.75,0.0,135,6,542,40,9,2013,Oct,SocSci,Pass
AAA-2013J-229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,268,-58.0,268.0,keep,1.0,78.5,0.0,277,7,989,99,9,2013,Oct,SocSci,Pass
AAA-2013J-231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,268,-29.0,268.0,keep,0.75,51.25,166.0,363,7,1660,70,9,2013,Oct,SocSci,Pass
AAA-2013J-236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,268,2.0,268.0,keep,1.0,82.5,0.0,124,6,329,29,9,2013,Oct,SocSci,Pass
AAA-2013J-238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,268,-151.0,268.0,keep,1.0,77.5,0.0,604,8,1595,135,9,2013,Oct,SocSci,Pass
AAA-2013J-240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,268,-45.0,268.0,keep,1.0,78.25,0.0,93,6,270,23,9,2013,Oct,SocSci,Pass
AAA-2013J-240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-47.0,268.0,keep,1.0,59.5,0.0,176,6,386,41,9,2013,Oct,SocSci,Pass
AAA-2013J-241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,268,-50.0,268.0,keep,1.0,77.25,0.0,494,7,1696,114,9,2013,Oct,SocSci,Pass
AAA-2013J-241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,268,-31.0,268.0,keep,1.0,58.0,0.0,475,7,1424,94,9,2013,Oct,SocSci,Fail
AAA-2013J-242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,268,-36.0,268.0,keep,1.0,75.75,0.0,212,6,561,43,9,2013,Oct,SocSci,Pass
AAA-2013J-246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-16.0,268.0,keep,1.0,56.5,0.0,261,8,872,50,9,2013,Oct,SocSci,Pass
AAA-2013J-248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,268,-198.0,268.0,keep,1.0,77.5,0.0,636,8,1690,161,9,2013,Oct,SocSci,Pass
AAA-2013J-255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,268,-103.0,268.0,keep,1.0,75.75,0.0,698,8,2323,138,9,2013,Oct,SocSci,Pass
AAA-2013J-256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,268,-117.0,268.0,keep,1.0,76.0,0.0,332,7,985,106,9,2013,Oct,SocSci,Pass
AAA-2013J-258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,268,-68.0,268.0,keep,1.0,58.25,0.0,244,7,692,45,9,2013,Oct,SocSci,Pass
AAA-2013J-258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-172.0,268.0,keep,1.0,67.5,0.0,1217,6,4429,183,9,2013,Oct,SocSci,Pass
AAA-2013J-262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,268,-145.0,268.0,keep,1.0,71.0,0.0,319,8,1022,61,9,2013,Oct,SocSci,Pass
AAA-2013J-262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-191.0,268.0,keep,1.0,77.0,0.0,605,6,2066,98,9,2013,Oct,SocSci,Pass
AAA-2013J-268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,268,-33.0,268.0,keep,1.0,75.0,0.0,591,7,2700,91,9,2013,Oct,SocSci,Fail
AAA-2013J-271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,268,-68.0,268.0,keep,1.0,74.25,0.0,558,7,2969,110,9,2013,Oct,SocSci,Pass
AAA-2013J-279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,268,-138.0,268.0,keep,1.0,78.25,0.0,251,6,1046,51,9,2013,Oct,SocSci,Distinction
AAA-2013J-281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,268,-74.0,268.0,keep,1.0,73.25,0.0,151,6,392,41,9,2013,Oct,SocSci,Pass
AAA-2013J-281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,268,-64.0,268.0,keep,1.0,56.25,0.0,70,7,122,13,9,2013,Oct,SocSci,Fail
AAA-2013J-282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-107.0,268.0,keep,1.0,65.0,0.0,401,8,1740,74,9,2013,Oct,SocSci,Pass
AAA-2013J-286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-8.0,268.0,keep,1.0,68.75,0.0,224,8,904,53,9,2013,Oct,SocSci,Pass
AAA-2013J-287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-52.0,268.0,keep,1.0,67.25,0.0,134,7,467,43,9,2013,Oct,SocSci,Pass
AAA-2013J-290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,268,-96.0,268.0,keep,1.0,70.0,0.0,430,8,1551,93,9,2013,Oct,SocSci,Pass
AAA-2013J-290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-141.0,268.0,keep,1.0,76.25,0.0,111,6,297,23,9,2013,Oct,SocSci,Pass
AAA-2013J-291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-132.0,268.0,keep,1.0,85.0,0.0,1611,9,4611,181,9,2013,Oct,SocSci,Distinction
AAA-2013J-293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,268,-27.0,268.0,keep,0.75,36.5,19.0,73,5,111,21,9,2013,Oct,SocSci,Pass
AAA-2013J-294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,268,-80.0,268.0,keep,1.0,78.5,0.0,339,8,1563,93,9,2013,Oct,SocSci,Pass
AAA-2013J-294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-145.0,268.0,keep,1.0,55.25,0.0,227,7,780,80,9,2013,Oct,SocSci,Pass
AAA-2013J-295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,268,-17.0,268.0,keep,1.0,49.0,0.0,259,6,628,70,9,2013,Oct,SocSci,Fail
AAA-2013J-296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,268,-115.0,268.0,keep,1.0,92.0,0.0,450,9,1898,101,9,2013,Oct,SocSci,Distinction
AAA-2013J-298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,268,-32.0,268.0,keep,1.0,79.25,0.0,172,7,447,50,9,2013,Oct,SocSci,Pass
AAA-2013J-300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,268,-59.0,268.0,keep,1.0,79.25,0.0,442,6,1490,82,9,2013,Oct,SocSci,Pass
AAA-2013J-302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,268,-83.0,268.0,keep,0.75,44.0,166.0,165,7,513,24,9,2013,Oct,SocSci,Fail
AAA-2013J-305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,268,-18.0,268.0,keep,0.25,16.0,337.0,44,5,146,11,9,2013,Oct,SocSci,Fail
AAA-2013J-305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,268,-66.0,268.0,keep,1.0,78.5,0.0,330,7,1198,75,9,2013,Oct,SocSci,Pass
AAA-2013J-306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,268,-107.0,268.0,keep,1.0,62.75,0.0,262,6,855,67,9,2013,Oct,SocSci,Pass
AAA-2013J-306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,268,-58.0,268.0,keep,1.0,80.75,0.0,272,9,979,91,9,2013,Oct,SocSci,Pass
AAA-2013J-306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,268,-123.0,268.0,keep,1.0,64.5,0.0,973,6,2482,153,9,2013,Oct,SocSci,Pass
AAA-2013J-307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,268,-31.0,268.0,keep,1.0,80.75,0.0,323,6,883,68,9,2013,Oct,SocSci,Pass
AAA-2013J-307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,268,-107.0,268.0,keep,1.0,60.0,0.0,336,7,1336,62,9,2013,Oct,SocSci,Pass
AAA-2013J-311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,268,-121.0,268.0,keep,1.0,57.25,0.0,579,7,1908,123,9,2013,Oct,SocSci,Pass
AAA-2013J-312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,268,-79.0,268.0,keep,1.0,87.75,0.0,1568,8,11062,210,9,2013,Oct,SocSci,Distinction
AAA-2013J-312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,268,-59.0,268.0,keep,1.0,63.25,0.0,91,6,244,38,9,2013,Oct,SocSci,Pass
AAA-2013J-318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,268,-100.0,268.0,keep,1.0,65.75,0.0,413,6,1144,97,9,2013,Oct,SocSci,Pass
AAA-2013J-319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,268,-47.0,268.0,keep,1.0,78.25,0.0,1482,8,5038,175,9,2013,Oct,SocSci,Pass
AAA-2013J-321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,268,-67.0,268.0,keep,1.0,80.5,0.0,1848,8,8661,184,9,2013,Oct,SocSci,Pass
AAA-2013J-324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,268,-32.0,268.0,keep,1.0,79.75,0.0,522,7,1691,106,9,2013,Oct,SocSci,Pass
AAA-2013J-324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,268,-165.0,268.0,keep,1.0,57.75,0.0,421,6,1774,93,9,2013,Oct,SocSci,Pass
AAA-2013J-324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-32.0,268.0,keep,1.0,58.5,0.0,57,5,105,28,9,2013,Oct,SocSci,Pass
AAA-2013J-332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,268,-64.0,268.0,keep,1.0,74.0,0.0,366,8,1302,57,9,2013,Oct,SocSci,Pass
AAA-2013J-333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,268,-103.0,268.0,keep,1.0,72.25,0.0,97,7,214,24,9,2013,Oct,SocSci,Pass
AAA-2013J-333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,268,-53.0,268.0,keep,1.0,74.25,0.0,114,6,345,22,9,2013,Oct,SocSci,Pass
AAA-2013J-334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,268,-32.0,268.0,keep,0.5,26.5,220.0,121,6,331,26,9,2013,Oct,SocSci,Fail
AAA-2013J-336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,268,-110.0,268.0,keep,1.0,69.5,0.0,329,7,1196,91,9,2013,Oct,SocSci,Pass
AAA-2013J-339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,268,-57.0,268.0,keep,1.0,50.25,0.0,108,6,286,27,9,2013,Oct,SocSci,Pass
AAA-2013J-341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,268,48.0,268.0,keep,1.0,65.25,0.0,69,6,109,26,9,2013,Oct,SocSci,Fail
AAA-2013J-342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,268,-81.0,268.0,keep,1.0,76.5,0.0,411,7,1750,88,9,2013,Oct,SocSci,Pass
AAA-2013J-342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,268,-60.0,268.0,keep,1.0,57.25,0.0,278,8,740,59,9,2013,Oct,SocSci,Pass
AAA-2013J-343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,268,-49.0,268.0,keep,1.0,76.5,0.0,1020,7,3179,138,9,2013,Oct,SocSci,Pass
AAA-2013J-344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,268,-12.0,268.0,keep,1.0,50.75,0.0,39,3,50,14,9,2013,Oct,SocSci,Fail
AAA-2013J-345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,268,-37.0,268.0,keep,1.0,76.25,0.0,176,7,472,42,9,2013,Oct,SocSci,Pass
AAA-2013J-345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,268,-18.0,268.0,keep,1.0,77.75,0.0,559,7,1782,104,9,2013,Oct,SocSci,Distinction
AAA-2013J-346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,268,-75.0,268.0,keep,1.0,81.75,0.0,236,6,501,88,9,2013,Oct,SocSci,Pass
AAA-2013J-350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,268,-49.0,268.0,keep,1.0,74.5,0.0,231,7,553,56,9,2013,Oct,SocSci,Pass
AAA-2013J-357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,268,-38.0,268.0,keep,0.75,42.75,166.0,88,7,166,27,9,2013,Oct,SocSci,Fail
AAA-2013J-364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,268,-129.0,268.0,keep,1.0,69.0,0.0,221,6,771,58,9,2013,Oct,SocSci,Fail
AAA-2013J-365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,268,-38.0,268.0,keep,1.0,56.5,0.0,311,7,730,58,9,2013,Oct,SocSci,Pass
AAA-2013J-365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,268,-52.0,268.0,keep,1.0,69.5,0.0,608,7,1765,113,9,2013,Oct,SocSci,Pass
AAA-2013J-366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,268,-4.0,268.0,keep,1.0,73.5,0.0,450,7,1405,116,9,2013,Oct,SocSci,Pass
AAA-2013J-368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,268,-123.0,268.0,keep,1.0,52.75,0.0,128,6,342,24,9,2013,Oct,SocSci,Pass
AAA-2013J-368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,268,-60.0,268.0,keep,1.0,59.0,0.0,86,6,213,17,9,2013,Oct,SocSci,Fail
AAA-2013J-368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,268,-19.0,268.0,keep,1.0,66.0,0.0,208,8,647,49,9,2013,Oct,SocSci,Pass
